POI_ID,Name,City,Type,Category,Latitude,Longitude,Cost_LKR,Time_Mins,Interest_Beach,Interest_Nature,Interest_History,Interest_Religious
58,World Buddhist Museum,Kandy,Landmark,Museum,7.2941,80.6418,500,60,0,0,1,1.0
59,Kandy View Point,Kandy,Landmark,Viewpoint,7.2882,80.6384,0,30,0,1,0,0.0
60,Arthur's Seat,Kandy,Landmark,Viewpoint,7.2869,80.6388,0,30,0,1,0,0.0
61,Kandy Garrison Cemetery,Kandy,Landmark,Historic,7.2946,80.6427,0,45,0,0,1,0.0
62,Commonwealth War Cemetery,Kandy,Landmark,Historic,7.2798,80.6128,0,45,0,0,1,0.0
63,Lankatilaka Vihara,Kandy,Landmark,Temple,7.2285,80.5566,500,60,0,0,1,1.0
64,Gadaladeniya Vihara,Kandy,Landmark,Temple,7.2568,80.5562,500,60,0,0,1,1.0
65,Embekka Devalaya,Kandy,Landmark,Temple,7.2185,80.5666,500,60,0,0,1,1.0
66,Natha Devalaya,Kandy,Landmark,Temple,7.2931,80.6402,0,30,0,0,1,1.0
67,Pattini Devalaya,Kandy,Landmark,Temple,7.2932,80.6395,0,30,0,0,1,1.0
68,Maha Vishnu Devalaya,Kandy,Landmark,Temple,7.2943,80.6406,0,30,0,0,1,1.0
69,Kataragama Devalaya,Kandy,Landmark,Temple,7.2926,80.6375,0,30,0,0,1,1.0
70,Degaldoruwa Raja Maha Vihara,Kandy,Landmark,Temple,7.3061,80.6625,200,45,0,0,1,1.0
71,Hanthana Mountain Range,Kandy,Landmark,Viewpoint,7.252,80.632,0,240,0,1,0,0.0
72,Royal Palace of Kandy,Kandy,Landmark,Historic,7.2942,80.6415,1000,60,0,0,1,0.0
73,Kandy Clock Tower,Kandy,Landmark,Monument,7.293,80.6341,0,15,0,0,1,0.0
74,Asgiriya Maha Viharaya,Kandy,Landmark,Temple,7.2982,80.6324,0,45,0,0,1,1.0
75,Wales Park,Kandy,Landmark,Park,7.291,80.637,0,45,0,1,0,0.0
76,The Empire Cafe,Kandy,Restaurant,Cafe,7.2928,80.6401,3000,60,0,0,0,0.0
77,White House Restaurant,Kandy,Restaurant,Local,7.294,80.636,2500,60,0,0,0,0.0
78,Buono,Kandy,Restaurant,Cafe,7.2945,80.6358,2000,60,0,0,0,0.0
79,Kandy Muslim Hotel,Kandy,Restaurant,Local,7.2929,80.6352,1000,45,0,0,0,0.0
80,Sala Thai,Kandy,Restaurant,Fine Dining,7.2952,80.6351,4000,90,0,0,0,0.0
81,Vito Wood Fired Pizza,Kandy,Restaurant,Italian,7.2885,80.6378,3500,60,0,0,0,0.0
82,Cafe Secret Alley,Kandy,Restaurant,Cafe,7.2933,80.6355,1500,60,0,0,0,0.0
83,Slightly Chilled Lounge Bar,Kandy,Restaurant,Cafe,7.2905,80.642,4500,120,0,0,0,0.0
84,The Bakehouse Kandy,Kandy,Restaurant,Cafe,7.2925,80.6365,1200,45,0,0,0,0.0
85,Balaji Dosai,Kandy,Restaurant,Indian,7.292,80.637,800,45,0,0,0,0.0
86,Royal Bar & Hotel Restaurant,Kandy,Restaurant,Fine Dining,7.2938,80.6366,5000,90,0,0,1,0.0
87,Helga's Folly,Kandy,Restaurant,Fine Dining,7.2915,80.6515,8000,120,0,0,1,0.0
88,The Kandy House Dining,Kandy,Restaurant,Fine Dining,7.3065,80.659,10000,120,0,0,1,0.0
89,History Restaurant,Kandy,Restaurant,Local,7.2941,80.6355,3000,60,0,0,1,0.0
90,Devon Restaurant,Kandy,Restaurant,Local,7.2932,80.635,1500,60,0,0,0,0.0
91,Kandy Cultural Dance Show,Kandy,Activity,Fun-time,7.2918,80.6411,2500,60,0,0,1,0.0
92,Kandy City Center,Kandy,Activity,Shopping,7.2934,80.6373,0,120,0,0,0,0.0
93,Central Market Kandy,Kandy,Activity,Shopping,7.291,80.6345,0,60,0,0,0,0.0
94,Gem Museum & Lapidary,Kandy,Activity,Workshops,7.2855,80.635,0,60,0,0,1,0.0
95,Batik Factory Tour,Kandy,Activity,Workshops,7.281,80.615,0,60,0,0,0,0.0
96,Giragama Tea Plantation,Kandy,Activity,Leisure,7.265,80.57,0,90,0,1,0,0.0
97,Wood Carving Workshop,Kandy,Activity,Workshops,7.288,80.63,0,60,0,0,0,0.0
98,Pallekele International Cricket Stadium,Kandy,Activity,Leisure,7.2758,80.7228,2000,180,0,0,0,0.0
99,Kandy Lake Boat Ride,Kandy,Activity,Leisure,7.2915,80.6425,1500,30,0,1,0,0.0
100,Luv SL Kandy,Kandy,Activity,Shopping,7.293,80.637,0,60,0,0,0,0.0
101,St. Mary's Church,Negombo,Landmark,Church,7.2078,79.8322,0,45,0,0,1,1.0
102,Negombo Dutch Fort,Negombo,Landmark,Historic,7.2086,79.8291,0,30,0,0,1,0.0
103,Angurukaramulla Temple,Negombo,Landmark,Temple,7.2065,79.8465,0,45,0,0,1,1.0
104,Negombo Beach Park,Negombo,Landmark,Park,7.2341,79.8415,0,120,1,1,0,0.0
105,Lellama Fish Market,Negombo,Landmark,Market,7.2148,79.8306,0,60,1,0,1,0.0
106,Muthurajawela Marsh,Negombo,Landmark,Nature,7.1086,79.8732,1500,120,0,1,0,0.0
107,Negombo Lagoon,Negombo,Landmark,Lake,7.1519,79.8416,0,60,0,1,0,0.0
108,St. Sebastian's Church,Negombo,Landmark,Church,7.2185,79.834,0,30,0,0,1,1.0
109,Browns Beach,Negombo,Landmark,Beach,7.2301,79.8402,0,180,1,1,0,0.0
110,St. Stephen's Anglican Church,Negombo,Landmark,Church,7.2091,79.829,0,30,0,0,1,1.0
111,Duwa Island,Negombo,Landmark,Historic,7.213,79.826,0,60,1,1,1,0.0
112,Sri Singama Kali Amman Kovil,Negombo,Landmark,Temple,7.2105,79.835,0,30,0,0,1,1.0
113,Maha Oya Estuary,Negombo,Landmark,Nature,7.2769,79.8443,0,60,1,1,0,0.0
114,Abhayasekararama Temple,Negombo,Landmark,Temple,7.2045,79.842,0,45,0,0,1,1.0
115,Hamilton Canal,Negombo,Landmark,Historic,7.215,79.833,0,60,0,1,1,0.0
116,Grand Mosque Negombo,Negombo,Landmark,Mosque,7.21,79.8345,0,30,0,0,1,1.0
117,Morawala Beach,Negombo,Landmark,Beach,7.1956,79.8256,0,90,1,1,0,0.0
118,Dutch Clock Tower,Negombo,Landmark,Monument,7.2085,79.8292,0,15,0,0,1,0.0
119,St. Peter's Church,Negombo,Landmark,Church,7.205,79.831,0,30,0,0,1,1.0
120,Rukmani Devi Park,Negombo,Landmark,Park,7.2015,79.8355,0,45,0,1,0,0.0
121,St. Anne's Church Palangathure,Negombo,Landmark,Church,7.251,79.845,0,45,0,0,1,1.0
122,Holy Trinity Church,Negombo,Landmark,Church,7.22,79.84,0,30,0,0,1,1.0
123,Main Street Mosque,Negombo,Landmark,Mosque,7.208,79.837,0,30,0,0,1,1.0
124,Pitipana Fishery Harbour,Negombo,Landmark,Market,7.184,79.825,0,45,1,0,0,0.0
125,Kochchikade St. Anthony's Shrine,Negombo,Landmark,Church,7.2655,79.8543,0,60,0,0,1,1.0
126,Lords Restaurant Complex,Negombo,Restaurant,Fine Dining,7.2345,79.842,6000,120,0,0,0,0.0
127,King Coconut Restaurant,Negombo,Restaurant,Seafood,7.225,79.8395,4000,90,1,0,0,0.0
128,Tusker Restaurant,Negombo,Restaurant,Local,7.2305,79.8405,3500,90,0,0,0,0.0
129,Prego Italian Restaurant,Negombo,Restaurant,Italian,7.232,79.841,4500,90,0,0,0,0.0
130,Sea View Restaurant,Negombo,Restaurant,Seafood,7.228,79.84,5000,90,1,0,0,0.0
131,Bijou Restaurant,Negombo,Restaurant,Fine Dining,7.229,79.8402,5500,120,0,0,0,0.0
132,Honcho,Negombo,Restaurant,Asian,7.236,79.8425,3000,60,0,0,0,0.0
133,Cafe J Negombo,Negombo,Restaurant,Cafe,7.2275,79.8398,2000,60,0,0,0,0.0
134,Mr Burger,Negombo,Restaurant,Local,7.215,79.835,1000,45,0,0,0,0.0
135,Dolce Vita Coffee Shop & Restaurant,Negombo,Restaurant,Cafe,7.2335,79.8415,2500,60,1,0,0,0.0
136,Edwin,Negombo,Restaurant,Seafood,7.2315,79.8408,3500,90,0,0,0,0.0
137,Jude Restaurant,Negombo,Restaurant,Local,7.226,79.839,2000,60,0,0,0,0.0
138,Bacco Italian Restaurant,Negombo,Restaurant,Italian,7.2355,79.8422,4000,90,0,0,0,0.0
139,Coconut Grove,Negombo,Restaurant,Local,7.222,79.8375,2500,60,0,0,0,0.0
140,Blue Orbit,Negombo,Restaurant,Cafe,7.224,79.8385,1500,45,0,0,0,0.0
141,Muthurajawela Boat Safari,Negombo,Activity,Leisure,7.11,79.87,3500,180,0,1,0,0.0
142,Negombo Lagoon Boat Tour,Negombo,Activity,Leisure,7.16,79.84,2500,120,1,1,0,0.0
143,Kite Surfing Negombo,Negombo,Activity,Fun-time,7.24,79.843,8000,180,1,1,0,0.0
144,Negombo Water Park,Negombo,Activity,Fun-time,7.25,79.845,1500,180,0,0,0,0.0
145,Jasmin Villa Ayurveda Spa,Negombo,Activity,Leisure,7.235,79.848,5000,120,0,0,0,0.0
146,Negombo Plaza Shopping,Negombo,Activity,Shopping,7.205,79.835,0,90,0,0,0,0.0
147,Traditional Cooking Class,Negombo,Activity,Workshops,7.2285,79.841,4000,150,0,0,0,0.0
148,Catamaran Sailing,Negombo,Activity,Leisure,7.23,79.84,3000,120,1,1,0,0.0
149,Scuba Diving Centre,Negombo,Activity,Fun-time,7.2365,79.843,12000,240,1,1,0,0.0
150,Odel Negombo,Negombo,Activity,Shopping,7.21,79.838,0,60,0,0,0,0.0
151,Mount Lavinia Beach,Mount Lavinia,Landmark,Beach,6.8345,79.861,0,120,1,1,0,0.0
152,Mount Lavinia Hotel Architecture,Mount Lavinia,Landmark,Historic,6.8338,79.8618,0,60,1,0,1,0.0
153,Sri Lanka Air Force Museum,Mount Lavinia,Landmark,Museum,6.8205,79.8884,500,120,0,0,1,0.0
154,National Zoological Gardens of Sri Lanka,Mount Lavinia,Landmark,Park,6.8555,79.8735,3000,180,0,1,0,0.0
155,Bellanwila Rajamaha Viharaya,Mount Lavinia,Landmark,Temple,6.8458,79.9023,0,60,0,0,1,1.0
156,Attidiya Bird Sanctuary,Mount Lavinia,Landmark,Nature,6.8402,79.8925,0,120,0,1,0,0.0
157,Sri Anjaneyar Temple,Mount Lavinia,Landmark,Temple,6.8655,79.8702,0,45,0,0,1,1.0
158,Dehiwala Beach,Mount Lavinia,Landmark,Beach,6.848,79.859,0,90,1,1,0,0.0
159,St. Anthony's Church,Mount Lavinia,Landmark,Church,6.8365,79.8645,0,30,0,0,1,1.0
160,Christ Church Galkissa,Mount Lavinia,Landmark,Church,6.8305,79.866,0,30,0,0,1,1.0
161,Subodharama Karandeniya Temple,Mount Lavinia,Landmark,Temple,6.852,79.875,0,45,0,0,1,1.0
162,Weras Ganga Park,Mount Lavinia,Landmark,Park,6.842,79.9005,0,60,0,1,0,0.0
163,Mount Lavinia Railway Station,Mount Lavinia,Landmark,Historic,6.8352,79.8631,0,15,1,0,1,0.0
164,Galkissa Purana Viharaya,Mount Lavinia,Landmark,Temple,6.8315,79.8685,0,45,0,0,1,1.0
165,S de S Jayasinghe Ground,Mount Lavinia,Landmark,Park,6.8505,79.8705,0,45,0,1,0,0.0
166,Our Lady of Sorrows Church,Mount Lavinia,Landmark,Church,6.844,79.862,0,30,0,0,0,1.0
167,Sri Venkateshwara Maha Vishnu Moorthy Kovil,Mount Lavinia,Landmark,Temple,6.856,79.865,0,45,0,0,1,1.0
168,Karagampitiya Ambalama,Mount Lavinia,Landmark,Historic,6.8485,79.871,0,30,0,0,1,0.0
169,Ratmalana Railway Monument,Mount Lavinia,Landmark,Monument,6.822,79.8755,0,20,0,0,1,0.0
170,Seneviratnarama Maha Viharaya,Mount Lavinia,Landmark,Temple,6.839,79.872,0,45,0,0,1,1.0
171,Bodhirukkaramaya Temple,Mount Lavinia,Landmark,Temple,6.826,79.88,0,30,0,0,0,1.0
172,Dharmaramaya Temple,Mount Lavinia,Landmark,Temple,6.832,79.876,0,40,0,0,0,1.0
173,Sri Jayasinharamaya Temple,Mount Lavinia,Landmark,Temple,6.841,79.881,0,45,0,0,0,1.0
174,Nedimala Buddhist Temple,Mount Lavinia,Landmark,Temple,6.849,79.885,0,30,0,0,0,1.0
175,Ratmalana Airport Viewpoint,Mount Lavinia,Landmark,Viewpoint,6.821,79.8855,0,30,0,0,1,0.0
176,Seafood Cove,Mount Lavinia,Restaurant,Seafood,6.8339,79.8616,6000,120,1,0,0,0.0
177,The Governor's Restaurant,Mount Lavinia,Restaurant,Fine Dining,6.8336,79.8619,7500,120,0,0,1,0.0
178,Loon Tao,Mount Lavinia,Restaurant,Asian,6.836,79.861,4500,90,1,0,0,0.0
179,Buba Beach Seafood Restaurant,Mount Lavinia,Restaurant,Seafood,6.831,79.8625,5000,90,1,0,0,0.0
180,Sugar Beach Mount Lavinia,Mount Lavinia,Restaurant,Cafe,6.835,79.8612,4000,90,1,0,0,0.0
181,La Rambla,Mount Lavinia,Restaurant,Fine Dining,6.8385,79.8655,5500,120,0,0,0,0.0
182,Shore By O!,Mount Lavinia,Restaurant,Local,6.8375,79.8605,3500,90,1,0,0,0.0
183,JoJo's Place,Mount Lavinia,Restaurant,Seafood,6.8368,79.8608,3000,60,1,0,0,0.0
184,Mount Breeze Restaurant,Mount Lavinia,Restaurant,Local,6.8325,79.863,2500,60,1,0,0,0.0
185,Burger's King Mount Lavinia,Mount Lavinia,Restaurant,Local,6.839,79.865,1500,45,0,0,0,0.0
186,The Station,Mount Lavinia,Restaurant,Seafood,6.8485,79.8595,4500,90,1,0,0,0.0
187,Oru Seafood Restaurant,Mount Lavinia,Restaurant,Seafood,6.8355,79.8615,4000,90,1,0,0,0.0
188,Kandoori Restaurant,Mount Lavinia,Restaurant,Indian,6.842,79.864,2500,60,0,0,0,0.0
189,Steamers Seafood Restaurant,Mount Lavinia,Restaurant,Seafood,6.834,79.8613,3500,90,1,0,0,0.0
190,Family Baker Mount Lavinia,Mount Lavinia,Restaurant,Cafe,6.838,79.8655,1000,30,0,0,0,0.0
191,Island Scuba Diving,Mount Lavinia,Activity,Fun-time,6.8355,79.8605,12000,180,1,1,0,0.0
192,Spa Ceylon Mount Lavinia,Mount Lavinia,Activity,Leisure,6.8385,79.865,6000,120,0,0,0,0.0
193,Odel Mount Lavinia,Mount Lavinia,Activity,Shopping,6.837,79.8645,0,60,0,0,0,0.0
194,Traditional Sri Lankan Cooking Class,Mount Lavinia,Activity,Workshops,6.835,79.866,4000,150,0,0,0,0.0
195,Kandy Fashion Dehiwala,Mount Lavinia,Activity,Shopping,6.851,79.864,0,90,0,0,0,0.0
196,Arpico Supercentre Dehiwala,Mount Lavinia,Activity,Shopping,6.845,79.8645,0,60,0,0,0,0.0
197,Concord Cinema,Mount Lavinia,Activity,Fun-time,6.853,79.865,1000,150,0,0,0,0.0
198,Mount Lavinia Sunset Cruise,Mount Lavinia,Activity,Leisure,6.834,79.86,8000,120,1,1,0,0.0
199,Attidiya Boat Safari,Mount Lavinia,Activity,Leisure,6.84,79.892,2500,90,0,1,0,0.0
200,Beach Volleyball Mount Lavinia,Mount Lavinia,Activity,Fun-time,6.836,79.8608,0,60,1,0,0,0.0
201,Kalutara Bodhiya,Kalutara,Landmark,Temple,6.5925,79.9606,0,60,0,0,1,1.0
202,Richmond Castle,Kalutara,Landmark,Museum,6.5956,79.9822,500,90,0,1,1,0.0
203,Calido Beach,Kalutara,Landmark,Beach,6.589,79.955,0,120,1,1,0,0.0
204,Gangatilaka Viharaya,Kalutara,Landmark,Temple,6.593,79.961,0,45,0,0,1,1.0
205,Holy Cross Church,Kalutara,Landmark,Church,6.5772,79.9585,0,30,0,0,1,1.0
206,Kalutara Beach,Kalutara,Landmark,Beach,6.575,79.956,0,120,1,1,0,0.0
207,Asokaramaya Buddhist Temple,Kalutara,Landmark,Temple,6.5805,79.965,0,45,0,0,0,1.0
208,Kalutara Clock Tower,Kalutara,Landmark,Monument,6.5855,79.9605,0,15,0,0,1,0.0
209,Kalu Ganga Bridge Viewpoint,Kalutara,Landmark,Viewpoint,6.594,79.9615,0,30,0,1,0,0.0
210,Bodhinagala Forest Hermitage,Kalutara,Landmark,Temple,6.721,80.145,0,120,0,1,0,1.0
211,Thudugala Ella Waterfall,Kalutara,Landmark,Nature,6.4851,80.052,200,90,0,1,0,0.0
212,St. John's Church,Kalutara,Landmark,Church,6.5865,79.962,0,30,0,0,1,1.0
213,Kande Viharaya Temple,Kalutara,Landmark,Temple,6.446,79.998,0,60,0,0,1,1.0
214,Brief Garden by Bevis Bawa,Kalutara,Landmark,Park,6.425,80.015,2000,120,0,1,1,0.0
215,Katukurunda Beach,Kalutara,Landmark,Beach,6.552,79.96,0,90,1,1,0,0.0
216,Wadduwa Beach,Kalutara,Landmark,Beach,6.666,79.936,0,120,1,1,0,0.0
217,Barberyn Island Lighthouse,Kalutara,Landmark,Historic,6.4635,79.9765,1500,90,1,0,1,0.0
218,Kalutara North Beach,Kalutara,Landmark,Beach,6.612,79.951,0,90,1,1,0,0.0
219,Kalu Ganga Estuary,Kalutara,Landmark,Nature,6.588,79.957,0,60,1,1,0,0.0
220,Vernan U Fernando Memorial Park,Kalutara,Landmark,Park,6.584,79.963,0,45,0,1,0,0.0
221,South Kalutara Railway Station,Kalutara,Landmark,Historic,6.5815,79.961,0,20,0,0,1,0.0
222,Sri Lankaramaya Temple,Kalutara,Landmark,Temple,6.5895,79.967,0,45,0,0,0,1.0
223,Kalutara Balika Monument,Kalutara,Landmark,Monument,6.583,79.9625,0,15,0,0,1,0.0
224,Agamathi Balika Park,Kalutara,Landmark,Park,6.5875,79.9645,0,45,0,1,0,0.0
225,Kalutara Public Library Grounds,Kalutara,Landmark,Park,6.585,79.9615,0,30,0,1,0,0.0
226,Olu Restaurant,Kalutara,Restaurant,Fine Dining,6.57,79.957,8000,120,1,0,0,0.0
227,Acquolina,Kalutara,Restaurant,Fine Dining,6.5702,79.9572,10000,120,1,0,0,0.0
228,Black is White Cafe,Kalutara,Restaurant,Cafe,6.586,79.961,2000,60,0,0,0,0.0
229,Red Lobster Kalutara,Kalutara,Restaurant,Seafood,6.578,79.958,4500,90,1,0,0,0.0
230,Kalutara Muslim Hotel,Kalutara,Restaurant,Local,6.5852,79.9608,1000,45,0,0,0,0.0
231,Oasis Restaurant,Kalutara,Restaurant,Local,6.587,79.962,1500,60,0,0,0,0.0
232,Peppermint Cafe,Kalutara,Restaurant,Cafe,6.582,79.9615,1800,60,0,0,0,0.0
233,Sea View Restaurant,Kalutara,Restaurant,Seafood,6.574,79.9565,3500,90,1,0,0,0.0
234,Green Shadow Restaurant,Kalutara,Restaurant,Local,6.591,79.965,2000,60,0,0,0,0.0
235,The Riverside Halpe,Kalutara,Restaurant,Local,6.602,79.975,2500,90,0,1,0,0.0
236,Mango Tree Restaurant,Kalutara,Restaurant,Indian,6.5845,79.9625,3000,60,0,0,0,0.0
237,Dinemore Kalutara,Kalutara,Restaurant,Cafe,6.5835,79.9618,2200,60,0,0,0,0.0
238,KFC Kalutara,Kalutara,Restaurant,Fast Food,6.5862,79.9605,1500,45,0,0,0,0.0
239,Royal View Restaurant,Kalutara,Restaurant,Local,6.5885,79.9635,1800,60,0,0,0,0.0
240,New Pilawoos Kalutara,Kalutara,Restaurant,Local,6.5858,79.9612,1200,45,0,0,0,0.0
241,Kalu Ganga Boat Safari,Kalutara,Activity,Leisure,6.59,79.96,3500,120,0,1,0,0.0
242,Kalutara Basket Society,Kalutara,Activity,Shopping,6.586,79.962,0,60,0,0,1,0.0
243,Kalutara Market Walk,Kalutara,Activity,Shopping,6.5848,79.9602,0,60,0,0,0,0.0
244,Katukurunda Motor Racing Track,Kalutara,Activity,Fun-time,6.545,79.965,1000,180,0,0,0,0.0
245,Wood Carving Workshop,Kalutara,Activity,Workshops,6.595,79.97,2000,90,0,0,1,0.0
246,Ayurveda Spa Kalutara,Kalutara,Activity,Leisure,6.572,79.958,6000,120,0,0,0,0.0
247,Water Sports Centre Wadduwa,Kalutara,Activity,Fun-time,6.665,79.935,5000,120,1,1,0,0.0
248,Fishing Village Tour,Kalutara,Activity,Leisure,6.57,79.955,1500,90,1,0,1,0.0
249,Arpico Supercentre Kalutara,Kalutara,Activity,Shopping,6.581,79.962,0,60,0,0,0,0.0
250,Batik Factory Tour,Kalutara,Activity,Workshops,6.605,79.968,1000,60,0,0,1,0.0
251,Bentota Beach,Bentota,Landmark,Beach,6.4215,79.9935,0,120,1,1,0,0.0
252,Ventura Beach,Bentota,Landmark,Beach,6.428,79.995,0,120,1,1,0,0.0
253,Moragalla Beach,Bentota,Landmark,Beach,6.438,79.988,0,90,1,1,0,0.0
254,Kande Viharaya Temple,Bentota,Landmark,Temple,6.4465,79.9985,0,60,0,0,1,1.0
255,Lunuganga Estate,Bentota,Landmark,Park,6.405,80.01,2000,120,0,1,1,0.0
256,Brief Garden by Bevis Bawa,Bentota,Landmark,Park,6.425,80.015,2000,120,0,1,1,0.0
257,Galapatha Rajamaha Viharaya,Bentota,Landmark,Temple,6.415,80.02,0,45,0,0,1,1.0
258,Dedduwa Lake,Bentota,Landmark,Lake,6.408,80.018,0,60,0,1,0,0.0
259,Cinnamon Island,Bentota,Landmark,Nature,6.41,80.015,500,60,0,1,1,0.0
260,Kosgoda Sea Turtle Conservation Project,Bentota,Landmark,Nature,6.335,80.03,1500,60,1,1,0,0.0
261,Victor Hasselblad Sea Turtle Center,Bentota,Landmark,Nature,6.338,80.028,1000,60,1,1,0,0.0
262,Bentota Lake,Bentota,Landmark,Lake,6.42,80.005,0,60,0,1,0,0.0
